date(mm/dd/yyyy,Hours of sleep(hrs.),Bed time(hh:mm),Wake up time(hh:mm),Workout(yes/no,Eat before bed(yes/no),Jumped in ocean(yes/no),,,,
,,,,,,,,,,
01/29/2026,7hrs.,1:20 a.m.,8:30 am:,Yes,Yes,Yes,,,,
01/30/2026,8 hrs.,12:13 a.m.,8:40 am.,No,Yes,Yes,,,,
01/31/2026,8 hrs.,2:00 a.m.,10:30 a.m.,No,No,No,,,,
02/03/2026,9 hrs.,12:00 a.m.,9:23 a.m.,No,Yes,Yes,,,,
02/04/2026,9 hrs.,11:20 p.m.,8:00 a.m.,Yes,Yes,Yes,,,,
02/05/2026,8 hrs.,11:13 p.m.,7:45 a.m.,No,No,Yes,,,,
02/06/2026,9 hrs.,12:30 a.m.,9:00 a.m.,Yes,No,No,,,,
02/07/2026,9 hrs.,1:13 a.m.,10:00 a.m.,No,Yes,Yes,,,,
02/08/2026,8 hrs.,12:10 a.m.,8:00 a.m.,No,No,Yes,,,,
02/09/2026,9 hrs.,11:30 p.m.,8:30 a.m.,Yes,Yes,Yes,,,,
02/10/2026,7 hrs.,11:40 p.m.,7:00 a.m.,No,Yes,No,,,,
02/11/2026,9 hrs.,11:00 p.m.,8:30 a.m.,Yes,No,Yes,,,,
02/12/2026,7 hrs.,12:30 a.m.,7:30 a.m.,No,No,No,,,,
02/13/2026,10 hrs.,11:20 p.m.,9:00 a.m.,Yes,No,No,,,,
02/14/2026,4 hrs.,2:20 a.m.,6 a.m.,No,Yes,Yes,,,,
02/15/2026,10 hrs.,12:20 a.m.,10 a.m.,No,Yes,Yes,,,,
02/16/2026,8 hrs.,1:13 a.m.,9 a.m.,Yes,Yes,Yes,,,,
02/17/2026,7 hrs.,11:40 p.m.,7 a.m.,No,No,Yes,,,,
02/18/2026,8 hrs.,11:30 p.m.,7:30 a.m.,Yes,Yes,Yes,,,,
02/19/2026,8 hrs.,11:50p.m.,8 a.m.,No,No,No,,,,
02/20/2026,8 hrs.,12:30 a.m.,8:30 a.m.,Yes,No,No,,,,
02/21/2026,10 hrs.,1:30 a.m.,11:30 a.m.,No,No,Yes,,,,
02/22/2026,10hrs.,12:00 a.m.,10 a.m.,No,Yes,Yes,,,,
02/23/2026,9 hrs.,11:10 p.m.,8:00 a.m.,Yes,Yes,Yes,,,,
02/26/2026,6hrs.,12:00 a.m.,6 a.m.,No,Yes,Yes,,,,
02/27/2026,6 hrs.,1:00 a.m.,7 a.m.,Yes,Yes,No,,,,
02/28/2026,9 hrs.,2:30 a.m.,12:00 p.m.,No,Yes,No,,,,
03/01/2026,9hrs.,11:00 p.m.,8 a.m.,No,Yes,Yes,,,,
03/02/2026,9hrs.,11:30 p.m.,8:00 a.m.,Yes,Yes,Yes,,,,